"Drug_ID","Segmented_SMILE"
"DB01212","[H];H][;][C;[C@;C@];@]1;]12;12S;2SC;SCC;CC(;C(C;(CS;CSC;SC3;C3=;3=N;=NC;NC(;C(=;(=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)NN;NN3;N3C;3C);C)=;)=C;=C(;C(N;(N1;N1C;1C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H]2;]2N;2NC;NC(;C(=;(=O;=O);O)C;)C(;C(=;(=N;=N/;N/O;/OC;OC);C)\;)\C;\C1;C1=;1=C;=CS;CSC;SC(;C(N;(N);N)=;)=N;=N1;N1);1)C;)C(;C(O;(O);O)=;)=O"
"DB01213","CC1;C1=;1=C;=CN;CNN;NN=;N=C;=C1"
"DB01214","CC(;C(C;(C);C)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;COC;OC1;C1=;1=C;=C(;C(C;(C);C)C;)C(;C(C;(C);C)=;)=C;=C(;C(O;(OC;OC(;C(C;(C);C)=;)=O;=O);O)C;)C(;C(C;(C);C)=;)=C;=C1"
"DB01215","ClC;lC1;C1=;1=C;=CC;CC2;C2=;2=C;=C(;C(C;(C=;C=C;=C1;C1);1)N;)N1;N1C;1C=;C=N;=NN;NN=;N=C;=C1;C1C;1CN;CN=;N=C;=C2;C2C;2C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB01216","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CC[;C[C;[C@;C@H;@H];H](;](C;(C(;C(=;(=O;=O);O)N;)NC;NC(;C(C;(C);C)(;)(C;(C);C)C;)C);C)[;)[C;[C@;C@@;@@];@]1;]1(;1(C;(C);C)C;)CC;CC[;C[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])[;)[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)CC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])N;)NC;NC(;C(=;(=O;=O);O)C;)C=;C=C;=C[;C[C;[C@;C@];@]1;]12;12C"
"DB01217","CC(;C(C;(C);C)(;)(C;(C#;C#N;#N);N)C;)C1;C1=;1=C;=CC;CC(;C(=;(=C;=CC;CC(;C(C;(CN;CN2;N2C;2C=;C=N;=NC;NC=;C=N;=N2;N2);2)=;)=C;=C1;C1);1)C;)C(;C(C;(C);C)(;)(C;(C);C)C;)C#;C#N"
"DB01218","CCC;CCC;CCN;CN(;N(C;(CC;CCC;CCC;CC);C)C;)CC;CCC;CC(;C(O;(O);O)C;)C1;C1=;1=C;=C2;C2C;2C=;C=C;=CC;CC(;C(=;(=C;=CC;CC2;C2=;2=C;=C2;C2C;2C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C2;C2=;2=C;=C1;C1);1)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB01219","[O-;O-];-][;][N;[N+;N+];+](;](=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O1;O1);1)\;)\C;\C=;C=N;=N\;N\N;\N1;N1C;1CC;CC(;C(=;(=O;=O);O)N;)NC;NC1;C1=;1=O"
"DB01220","CO[;O[C;[C@;C@H;@H];H]1;]1\;1\C;\C=;C=C;=C\;C\O;\O[;O[C;[C@;C@@;@@];@]2;]2(;2(C;(C);C)O;)OC;OC3;C3=;3=C;=C(;C(C;(C);C)C;)C(;C(O;(O);O)=;)=C;=C4;C4C;4C(;C(O;(O);O)=;)=C;=C(;C(N;(NC;NC(;C(=;(=O;=O);O)\;)\C;\C(;C(C;(C);C)=;)=C;=C/;C/C;/C=;C=C;=C/;C/[;/[C;[C@;C@H;@H];H](;](C;(C);C)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@H;@H];H](;](O;(OC;OC(;C(C;(C);C)=;)=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1C);C)C;)C1;C1=;1=C;=C(;C(N;(N=;N=C;=C5;C5C;5C=;C=C;=C(;C(C;(C);C)C;)C=;C=C;=CN;CN1;N15;15);5)C;)C4;C4=;4=C;=C3;C3C;3C2;C2=;2=O"
"DB01221","CNC;NC1;C1(;1(C;(CC;CCC;CCC;CCC;CC1;C1=;1=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1C;1Cl"
"DB01222","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C[;C[C;[C@;C@H;@H];H]3;]3O;3OC;OC(;C(C;(CC;CCC;CC);C)O;)O[;O[C;[C@;C@@;@@];@]3;]3(;3(C;(C(;C(=;(=O;=O);O)C;)CO;CO);O)[;)[C;[C@;C@@;@@];@]1;]1(;1(C;(C);C)C;)C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])[;)[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)CC;CCC;CC2;C2=;2=C;=CC;CC(;C(=;(=O;=O);O)C;)C=;C=C;=C[;C[C;[C@;C@];@]1;]12;12C"
"DB01223","NCC;CCN;CN.;N.C;.CN;CN1;N1C;1C2;C2=;2=C;=C(;C(N;(NC;NC=;C=N;=N2;N2);2)C;)C(;C(=;(=O;=O);O)N;)N(;N(C;(C);C)C;)C1;C1=;1=O;=O.;O.C;.CN;CN1;N1C;1C2;C2=;2=C;=C(;C(N;(NC;NC=;C=N;=N2;N2);2)C;)C(;C(=;(=O;=O);O)N;)N(;N(C;(C);C)C;)C1;C1=;1=O"
"DB01224","OCC;CCO;COC;OCC;CCN;CN1;N1C;1CC;CCN;CN(;N(C;(CC;CC1;C1);1)C;)C1;C1=;1=N;=NC;NC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2S;2SC;SC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12"
"DB01226","COC;OC1;C1=;1=C;=CC;CC(;C(C;(C[;C[C;[C@;C@@;@@H;@H];H]2;]2C;2C3;C3=;3=C;=CC;CC(;C(O;(OC;OC);C)=;)=C;=C(;C(O;(OC;OC);C)C;)C=;C=C;=C3;C3C;3CC;CC[;C[N;[N+;N+];+]2;]2(;2(C;(C);C)C;)CC;CCC;CCO;COC;OC(;C(=;(=O;=O);O)C;)CC;CC\;C\C;\C=;C=C;=C\;C\C;\CC;CCC;CC(;C(=;(=O;=O);O)O;)OC;OCC;CCC;CC[;C[N;[N+;N+];+]2;]2(;2(C;(C);C)C;)CC;CCC;CC3;C3=;3=C;=CC;CC(;C(O;(OC;OC);C)=;)=C;=C(;C(O;(OC;OC);C)C;)C=;C=C;=C3;C3[;3[C;[C@;C@H;@H];H]2;]2C;2CC;CC2;C2=;2=C;=CC;CC(;C(O;(OC;OC);C)=;)=C;=C(;C(O;(OC;OC);C)C;)C(;C(O;(OC;OC);C)=;)=C;=C2;C2);2)=;)=C;=CC;CC(;C(O;(OC;OC);C)=;)=C;=C1;C1O;1OC"
"DB01227","CC[;C[C;[C@;C@H;@H];H](;](O;(OC;OC(;C(C;(C);C)=;)=O;=O);O)C;)C(;C(C;(C[;C[C;[C@;C@H;@H];H](;](C;(C);C)N;)N(;N(C;(C);C)C;)C);C)(;)(C;(C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB01228","COC;OC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C(;C(=;(=O;=O);O)N;)NC;NC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1C;1CC;CCC;CC1;C1C;1CC;CCC;CCC;CCN;CN1;N1C"
"DB01229","[H];H][;][C;[C@;C@];@]1;]12;12[;2[C;[C@;C@H;@H];H](;](O;(OC;OC(;C(=;(=O;=O);O)C;)C3;C3=;3=C;=CC;CC=;C=C;=CC;CC=;C=C;=C3;C3);3)[;)[C;[C@;C@];@]3;]3(;3(O;(O);O)C;)C[;C[C;[C@;C@H;@H];H](;](O;(OC;OC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)C;)C4;C4=;4=C;=CC;CC=;C=C;=CC;CC=;C=C;=C4;C4);4)C;)C4;C4=;4=C;=CC;CC=;C=C;=CC;CC=;C=C;=C4;C4);4)C;)C(;C(C;(C);C)=;)=C;=C(;C([;([C;[C@;C@@;@@H;@H];H](;](O;(OC;OC(;C(C;(C);C)=;)=O;=O);O)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@];@]1;]1(;1(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)C[;C[C;[C@;C@H;@H];H]1;]1O;1OC;OC[;C[C;[C@;C@@;@@];@]2;]21;21O;1OC;OC(;C(C;(C);C)=;)=O;=O);O)C;)C3;C3(;3(C;(C);C)C"
"DB01232","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CCC;CCC;CC[;C[C;[C@;C@];@]1;]1(;1([;([H;[H];H]);])C;)CN;CN(;N(C;(C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)C;)C1;C1=;1=N;=NC;NC3;C3=;3=C;=C(;C(C;(C=;C=C;=CC;CC=;C=C;=C3;C3);3)C;)C=;C=C;=C1;C1);1)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C2;C2);2)C;)C(;C(=;(=O;=O);O)N;)NC;NC(;C(C;(C);C)(;)(C;(C);C)C"
"DB01233","CCN;CN(;N(C;(CC;CC);C)C;)CC;CCN;CNC;NC(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C(;C(N;(N);N)C;)C=;C=C;=C1;C1O;1OC"
"DB01234","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@];@](;](O;(O);O)(;)(C;(C(;C(=;(=O;=O);O)C;)CO;CO);O)[;)[C;[C@;C@@;@@];@]1;]1(;1(C;(C);C)C;)C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@];@]1;]1(;1(F;(F);F)[;)[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)CC;CCC;CC2;C2=;2=C;=CC;CC(;C(=;(=O;=O);O)C;)C=;C=C;=C[;C[C;[C@;C@];@]1;]12;12C"
"DB01235","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC(;C(O;(O);O)=;)=C;=C(;C(O;(O);O)C;)C=;C=C;=C1;C1);1)C;)C(;C(O;(O);O)=;)=O"
"DB01236","FCO;COC;OC(;C(C;(C(;C(F;(F);F)(;)(F;(F);F)F;)F);F)C;)C(;C(F;(F);F)(;)(F;(F);F)F"
"DB01238","ClC;lC1;C1=;1=C;=CC;CC=;C=C;=CC;CC(;C(N;(N2;N2C;2CC;CCN;CN(;N(C;(CC;CCC;CCC;CCO;COC;OC3;C3=;3=C;=CC;CC4;C4=;4=C;=C(;C(C;(CC;CCC;CC(;C(=;(=O;=O);O)N;)N4;N4);4)C;)C=;C=C;=C3;C3);3)C;)CC;CC2;C2);2)=;)=C;=C1;C1C;1Cl"
"DB01239","CN(;N(C;(C);C)C;)CC;CC\;C\C;\C=;C=C;=C1;C1\;1\C;\C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2S;2SC;SC2;C2=;2=C;=CC;CC=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C1;C12"
"DB01240","[H];H][;][C;[C@;C@];@]1;]12;12C;2C[;C[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@H;@H];H](;](\;(\C;\C=;C=C;=C\;C\[;\[C;[C@;C@@;@@H;@H];H](;](O;(O);O)C;)CC;CCC;CCC;CCC;CC);C)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])C;)C\;C\C;\C(;C(O;(O2;O2);2)=;)=C;=C\;C\C;\CC;CCC;CCC;CC(;C(O;(O);O)=;)=O"
"DB01241","CC1;C1=;1=C;=CC;CC(;C(O;(OC;OCC;CCC;CCC;CC(;C(C;(C);C)(;)(C;(C);C)C;)C(;C(O;(O);O)=;)=O;=O);O)=;)=C;=C(;C(C;(C);C)C;)C=;C=C;=C1"
"DB01242","CN(;N(C;(C);C)C;)CC;CCC;CCN;CN1;N1C;1C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2C;2CC;CCC;CC2;C2=;2=C;=C1;C1C;1C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C2"
"DB01243","OC1;C1=;1=C;=C(;C(C;(Cl;Cl);l)C;)C=;C=C;=C(;C(C;(Cl;Cl);l)C;)C2;C2=;2=C;=C1;C1N;1N=;N=C;=CC;CC=;C=C;=C2"
"DB01244","CC(;C(C;(C);C)C;)CO;COC;OCC;CC(;C(C;(CN;CN(;N(C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)N1;N1C;1CC;CCC;CCC;CC1"
"DB01245","C[N;[N+;N+];+](;](C;(C);C)(;)(C;(C);C)C;)CC;CCC;CCC;CCC;CCC;CCC;CCC;CCC;CCC;CC[;C[N;[N+;N+];+](;](C;(C);C)(;)(C;(C);C)C"
"DB01246","CC(;C(C;(CN;CN(;N(C;(C);C)C;)C);C)C;)CN;CN1;N1C;1C2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C2;C2S;2SC;SC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12"
"DB01247","CC1;C1=;1=C;=CC;CC(;C(=;(=N;=NO;NO1;O1);1)C;)C(;C(=;(=O;=O);O)N;)NN;NNC;NCC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB01248","[H];H][;][C;[C@;C@@;@@];@]1;]1(;1(C;(C[;C[C;[C@;C@@;@@];@]2;]2(;2(O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(OC;OC(;C(=;(=O;=O);O)C;)C3;C3=;3=C;=CC;CC=;C=C;=CC;CC=;C=C;=C3;C3);3)[;)[C;[C@;C@];@]3;]3(;3([;([H;[H];H]);])[;)[C;[C@;C@@;@@];@]4;]4(;4(C;(CO;CO[;O[C;[C@;C@@;@@H;@H];H]4;]4C;4C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@];@]3;]3(;3(C;(C);C)C;)C(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)C(;C(=;(=C;=C1;C1C;1C);C)C;)C2;C2(;2(C;(C);C)C;)C);C)O;)OC;OC(;C(C;(C);C)=;)=O;=O);O)O;)OC;OC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)O;)OC;OC(;C(C;(C);C)(;)(C;(C);C)C;)C);C)C;)C1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1"
"DB01249","CC(;C(=;(=O;=O);O)N;)N(;N(C;(CC;CC(;C(O;(O);O)C;)CN;CN(;N(C;(C(;C(C;(C);C)=;)=O;=O);O)C;)C1;C1=;1=C;=C(;C(I;(I);I)C;)C(;C(C;(C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;CO);O)=;)=C;=C(;C(I;(I);I)C;)C(;C(C;(C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;CO);O)=;)=C;=C1;C1I;1I);I)C;)C1;C1=;1=C;=C(;C(I;(I);I)C;)C(;C(C;(C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;CO);O)=;)=C;=C(;C(I;(I);I)C;)C(;C(C;(C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(O;(O);O)C;)CO;CO);O)=;)=C;=C1;C1I"
"DB01250","OC(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC(;C(=;(=C;=CC;CC=;C=C;=C1;C1O;1O);O)\;)\N;\N=;N=N;=N\;N\C;\C1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O);O)C;)C(;C(=;(=C;=C1;C1);1)C;)C(;C(O;(O);O)=;)=O"
"DB01251","COC;OC1;C1=;1=C;=CC;CC2;C2=;2=C;=C(;C(C;(C=;C=C;=C1;C1);1)C;)C(;C(C;(C);C)(;)(C;(C);C)C;)C(;C(=;(=O;=O);O)N;)N(;N(C;(CC;CCC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)S;)S(;S(=;(=O;=O);O)(;)(=;(=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)N;)NC;NC1;C1C;1CC;CCC;CCC;CCC;CC1;C1);1)C;)C2;C2=;2=O"
"DB01252","[H];H][;][C;[C@;C@@;@@];@](;](C;(CC;CC(;C(=;(=O;=O);O)N;)N1;N1C;1C[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)CC;CCC;CCC;CC[;C[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)C1;C1);1)(;)(C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)C;)C(;C(O;(O);O)=;)=O"
"DB01253","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CC3;C3=;3=C;=CN;CNC;NC4;C4=;4=C;=CC;CC=;C=C;=CC;CC(;C(=;(=C;=C3;C34;34);4)C;)C1;C1=;1=C;=C[;C[C;[C@;C@H;@H];H](;](C;(CN;CN2;N2C;2C);C)C;)C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)CO"
"DB01254","CC1;C1=;1=N;=NC;NC(;C(N;(NC;NC2;C2=;2=N;=NC;NC=;C=C;=C(;C(S;(S2;S2);2)C;)C(;C(=;(=O;=O);O)N;)NC;NC2;C2=;2=C;=C(;C(C;(C);C)C;)C=;C=C;=CC;CC=;C=C;=C2;C2C;2Cl;Cl);l)=;)=C;=CC;CC(;C(=;(=N;=N1;N1);1)N;)N1;N1C;1CC;CCN;CN(;N(C;(CC;CCO;CO);O)C;)CC;CC1"
"DB01255","C[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](N;(N);N)C;)CC;CCC;CCC;CCN"
"DB01256","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C(;C(=;(=O;=O);O)C;)CC;CC[;C[C;[C@;C@];@]1;]11;11C;1CC;CC[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)[;)[C;[C@;C@@;@@];@]2;]2(;2(C;(C);C)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C[;C[C;[C@;C@@;@@];@](;](C;(C);C)(;)(C;(C=;C=C;=C);C)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1C;1C);C)O;)OC;OC(;C(=;(=O;=O);O)C;)CS;CS[;S[C;[C@;C@H;@H];H]1;]1C;1C[;C[C;[C@;C@@;@@H;@H];H]2;]2C;2CC;CC[;C[C;[C@;C@H;@H];H](;](C;(C1;C1);1)N;)N2;N2C"
"DB01259","CS(;S(=;(=O;=O);O)(;)(=;(=O;=O);O)C;)CC;CCN;CNC;NCC;CC1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(O1;O1);1)C;)C1;C1=;1=C;=CC;CC2;C2=;2=C;=C(;C(C;(C=;C=C;=C1;C1);1)N;)N=;N=C;=CN;CN=;N=C;=C2;C2N;2NC;NC1;C1=;1=C;=CC;CC(;C(C;(Cl;Cl);l)=;)=C;=C(;C(O;(OC;OCC;CC2;C2=;2=C;=CC;CC(;C(F;(F);F)=;)=C;=CC;CC=;C=C;=C2;C2);2)C;)C=;C=C;=C1"
"DB01260","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2C[;C[C;[C@;C@H;@H];H]3;]3O;3OC;OC(;C(C;(C);C)(;)(C;(C);C)O;)O[;O[C;[C@;C@@;@@];@]3;]3(;3(C;(C(;C(=;(=O;=O);O)C;)CO;CO);O)[;)[C;[C@;C@@;@@];@]1;]1(;1(C;(C);C)C;)C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@];@]1;]1(;1([;([H;[H];H]);])[;)[C;[C@;C@@;@@];@]2;]2(;2([;([H;[H];H]);])C;)CC;CCC;CC2;C2=;2=C;=CC;CC(;C(=;(=O;=O);O)C;)C=;C=C;=C[;C[C;[C@;C@];@]1;]12;12C"
"DB01261","N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCN;CN2;N2C;2C(;C(C;(C1;C1);1)=;)=N;=NN;NN=;N=C;=C2;C2C;2C(;C(F;(F);F)(;)(F;(F);F)F;)F);F)C;)CC;CC1;C1=;1=C;=CC;CC(;C(F;(F);F)=;)=C;=C(;C(F;(F);F)C;)C=;C=C;=C1;C1F"
"DB01262","NC1;C1=;1=N;=NC;NC(;C(=;(=O;=O);O)N;)N(;N(C;(C=;C=N;=N1;N1);1)[;)[C;[C@;C@H;@H];H]1;]1C;1C[;C[C;[C@;C@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(CO;CO);O)O;)O1"
"DB01263","[H];H][;][C;[C@;C@@;@@];@](;](C;(C);C)(;)(O;(O);O)[;)[C;[C@;C@];@](;]([;([H;[H];H]);])(;)(C;(CC;CC);C)N;)N1;N1N;1N=;N=C;=CN;CN(;N(C;(C1;C1=;1=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C=;C=C;=C1;C1);1)N;)N1;N1C;1CC;CCN;CN(;N(C;(CC;CC1;C1);1)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(O;(OC;OC[;C[C;[C@;C@];@]2;]2(;2([;([H;[H];H]);])C;)CO;CO[;O[C;[C@;C@];@](;](C;(CN;CN3;N3C;3C=;C=N;=NC;NC=;C=N;=N3;N3);3)(;)(C;(C2;C2);2)C;)C2;C2=;2=C;=C(;C(F;(F);F)C;)C=;C=C;=C(;C(F;(F);F)C;)C=;C=C;=C2;C2);2)C;)C=;C=C;=C1"
"DB01264","[H];H][;][C;[C@;C@@;@@];@]1;]12;12C;2CC;CCO;CO[;O[C;[C@;C@];@]1;]1(;1([;([H;[H];H]);])O;)OC;OC[;C[C;[C@;C@@;@@H;@H];H]2;]2O;2OC;OC(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC1;C1=;1=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C1);1)[;)[C;[C@;C@H;@H];H](;](O;(O);O)C;)CN;CN(;N(C;(CC;CC(;C(C;(C);C)C;)C);C)S;)S(;S(=;(=O;=O);O)(;)(=;(=O;=O);O)C;)C1;C1=;1=C;=CC;CC=;C=C;=C(;C(N;(N);N)C;)C=;C=C;=C1"
"DB01267","CC1;C1=;1=C;=C(;C(C;(CC;CCN;CN2;N2C;2CC;CCC;CC(;C(C;(CC;CC2;C2);2)C;)C2;C2=;2=N;=NO;NOC;OC3;C3=;3=C;=C2;C2C;2C=;C=C;=CC;CC(;C(F;(F);F)=;)=C;=C3;C3);3)C;)C(;C(=;(=O;=O);O)N;)N2;N2C;2CC;CCC;CCC;CC(;C(O;(O);O)C;)C2;C2=;2=N;=N1"
"DB01268","CCN;CN(;N(C;(CC;CC);C)C;)CC;CCN;CNC;NC(;C(=;(=O;=O);O)C;)C1;C1=;1=C;=C(;C(C;(C);C)N;)NC;NC(;C(\;(\C;\C=;C=C;=C2;C2/;2/C;/C(;C(=;(=O;=O);O)N;)NC;NC3;C3=;3=C;=C2;C2C;2C=;C=C;=C(;C(F;(F);F)C;)C=;C=C;=C3;C3);3)=;)=C;=C1;C1C"
"DB01273","C1C;1C2;C2C;2CN;CNC;NCC;CC1;C1C;1C1;C1=;1=C;=C2;C2C;2C=;C=C;=C2;C2N;2N=;N=C;=CC;CC=;C=N;=NC;NC2;C2=;2=C;=C1"
"DB01274","COC;OC1;C1=;1=C;=CC;CC=;C=C;=C(;C(C;(C[;C[C;[C@;C@@;@@H;@H];H](;](C;(C);C)N;)NC;NC[;C[C;[C@;C@H;@H];H](;](O;(O);O)C;)C2;C2=;2=C;=CC;CC(;C(N;(NC;NC=;C=O;=O);O)=;)=C;=C(;C(O;(O);O)C;)C=;C=C;=C2;C2);2)C;)C=;C=C;=C1"
"DB01275","NNC;NC1;C1=;1=N;=NN;NN=;N=C;=CC;CC2;C2=;2=C;=CC;CC=;C=C;=CC;CC=;C=C;=C1;C12"
"DB01280","COC;OC1;C1=;1=N;=NC;NC(;C(N;(N);N)=;)=N;=NC;NC2;C2=;2=C;=C1;C1N;1N=;N=C;=CN;CN2;N2[;2[C;[C@;C@@;@@H;@H];H]1;]1O;1O[;O[C;[C@;C@H;@H];H](;](C;(CO;CO);O)[;)[C;[C@;C@@;@@H;@H];H](;](O;(O);O)[;)[C;[C@;C@@;@@H;@H];H]1;]1O"
"DB01282","[H];H][;][C;[C@;C@];@]1;]1(;1(N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC2;C2=;2=C;=CC;CC=;C=C;=C(;C(O;(OC;OC);C)C;)C=;C=C;=C2;C2);2)N;)NC;NC(;C(=;(=O;=O);O)C;)CC;CCC;CCS;CSC;SC[;C[C;[C@;C@H;@H];H](;](N;(NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC(;C(=;(=O;=O);O)[;)[C;[C@;C@H;@H];H](;](C;(CC;CCC;CC(;C(N;(N);N)=;)=O;=O);O)N;)NC;NC1;C1=;1=O;=O);O)C;)C(;C(=;(=O;=O);O)N;)N1;N1C;1CC;CCC;CC[;C[C;[C@;C@H;@H];H]1;]1C;1C(;C(=;(=O;=O);O)N;)N[;N[C;[C@;C@@;@@H;@H];H](;](C;(CC;CC(;C(C;(C);C)C;)C);C)C;)C(;C(=;(=O;=O);O)N;)NC;NCC;CC(;C(N;(N);N)=;)=O;=O);O)[;)[C;[C@;C@@;@@H;@H];H](;](C;(C);C)C;)CC"
